conference_topic,research_area,concept
Special issue: ecological perspectives on hearing,auditory processing,hearing
Special issue: ecological perspectives on hearing,auditory processing,ecological perspectives
Special issue: ecological perspectives on hearing,acoustic phonetics,hearing
Special issue: ecological perspectives on hearing,acoustic phonetics,ecological perspectives
"Special issue: advanced air mobility noise: predictions, measurements, and perception",acoustic phonetics,advanced air mobility
"Special issue: advanced air mobility noise: predictions, measurements, and perception",acoustic phonetics,perception
"Special issue: advanced air mobility noise: predictions, measurements, and perception",acoustic phonetics,noise
"Special issue: advanced air mobility noise: predictions, measurements, and perception",acoustic phonetics,measurements
"Special issue: advanced air mobility noise: predictions, measurements, and perception",acoustic phonetics,predictions
"Special issue: sound absorption and diffusion: modeling, measurement and application",acoustic phonetics,modeling
"Special issue: sound absorption and diffusion: modeling, measurement and application",acoustic phonetics,sound absorption
"Special issue: sound absorption and diffusion: modeling, measurement and application",acoustic phonetics,diffusion
"Special issue: sound absorption and diffusion: modeling, measurement and application",acoustic phonetics,measurement
Special issue: active and tunable acoustic metamaterials,acoustic phonetics,tunable acoustic metamaterials
Special issue: active and tunable acoustic metamaterials,acoustic phonetics,active acoustic metamaterials
Call for papers: composite materials,active materials,composite materials
The role of the local in the creation of global activism,activism,local
The role of the local in the creation of global activism,activism,global activism
The role of emotions in solidarity activism,activism,solidarity activism
The role of emotions in solidarity activism,activism,emotions
Ad-hoc and piecemeal activism,activism,ad-hoc activism
Ad-hoc and piecemeal activism,activism,piecemeal activism
Mediated activism in our contemporary world,activism,mediated activism
Mediated activism in our contemporary world,social movements,mediated activism
"Digital forms of activism, algorithmic and data activism",activism,digital activism
"Digital forms of activism, algorithmic and data activism",activism,data activism
"Digital forms of activism, algorithmic and data activism",activism,algorithmic activism
"Digital forms of activism, algorithmic and data activism",social movements,digital activism
"Digital forms of activism, algorithmic and data activism",social movements,data activism
"Digital forms of activism, algorithmic and data activism",social movements,algorithmic activism
"Activism, citizenship, and civic engagement",activism,civic engagement
"Activism, citizenship, and civic engagement",activism,citizenship
"Activism, citizenship, and civic engagement",activism,activism
"Activism, citizenship, and civic engagement",social movements,civic engagement
"Activism, citizenship, and civic engagement",social movements,citizenship
"Activism, citizenship, and civic engagement",social movements,activism
Historical and comparative studies of communicative practices related to activism,activism,comparative studies
Historical and comparative studies of communicative practices related to activism,activism,historical studies
Historical and comparative studies of communicative practices related to activism,activism,communicative practices
Historical and comparative studies of communicative practices related to activism,activism,activism
Historical and comparative studies of communicative practices related to activism,social movements,comparative studies
Historical and comparative studies of communicative practices related to activism,social movements,historical studies
Historical and comparative studies of communicative practices related to activism,social movements,communicative practices
Historical and comparative studies of communicative practices related to activism,social movements,activism
"Culture, communication, and activism",activism,communication
"Culture, communication, and activism",activism,culture
"Culture, communication, and activism",activism,activism
"Culture, communication, and activism",social movements,communication
"Culture, communication, and activism",social movements,culture
"Culture, communication, and activism",social movements,activism
Critical engagement with scholarship and activism,activism,activism
Critical engagement with scholarship and activism,activism,scholarship
Critical engagement with scholarship and activism,social movements,activism
Critical engagement with scholarship and activism,social movements,scholarship
Geopolitics and activism,activism,geopolitics
Geopolitics and activism,activism,activism
"Art, music, literature, film, television, theatre as activism and protest",activism,music
"Art, music, literature, film, television, theatre as activism and protest",activism,film
"Art, music, literature, film, television, theatre as activism and protest",activism,protest
"Art, music, literature, film, television, theatre as activism and protest",activism,theatre
"Art, music, literature, film, television, theatre as activism and protest",activism,activism
"Art, music, literature, film, television, theatre as activism and protest",activism,literature
"Art, music, literature, film, television, theatre as activism and protest",activism,television
"Art, music, literature, film, television, theatre as activism and protest",activism,art
"Representation of activism and protest in the media, literature, the arts, etc.",activism,representation
"Representation of activism and protest in the media, literature, the arts, etc.",activism,protest
"Representation of activism and protest in the media, literature, the arts, etc.",activism,media
"Representation of activism and protest in the media, literature, the arts, etc.",activism,activism
"Representation of activism and protest in the media, literature, the arts, etc.",activism,literature
"Representation of activism and protest in the media, literature, the arts, etc.",activism,arts
"Iconic images of activism, protest and dissent, and their importance",activism,dissent
"Iconic images of activism, protest and dissent, and their importance",activism,protest
"Iconic images of activism, protest and dissent, and their importance",activism,activism
"Iconic images of activism, protest and dissent, and their importance",activism,iconic images
Environmental activism and protest,activism,protest
Environmental activism and protest,activism,environmental activism
Personal accounts of activism and protest,activism,protest
Personal accounts of activism and protest,activism,personal accounts
Personal accounts of activism and protest,activism,activism
"Activism within institutions (e.g. academia, government, etc.)",activism,government
"Activism within institutions (e.g. academia, government, etc.)",activism,institutions
"Activism within institutions (e.g. academia, government, etc.)",activism,activism
"Activism within institutions (e.g. academia, government, etc.)",activism,academia
Activism in an environment of globalisation,activism,activism
Activism in an environment of globalisation,activism,globalisation
Spaces and places of dissent and activism,activism,dissent
Spaces and places of dissent and activism,activism,activism
Activism and the law,activism,activism
Activism and the law,activism,law
"Justice, activism and power",activism,power
"Justice, activism and power",activism,justice
"Justice, activism and power",activism,activism
Activists’ personal and professional networks,activism,activists
Activists’ personal and professional networks,activism,networks
Lived experiences within solidarity movements,activism,solidarity movements
Lived experiences within solidarity movements,activism,lived experiences
Differences and tensions between activist groups,activism,tensions
Differences and tensions between activist groups,activism,activist groups
Differences and tensions between activist groups,activism,differences
The connection between non-governmental global networks and national histories,activism,national histories
The connection between non-governmental global networks and national histories,activism,non-governmental global networks
Media and transnational and global social movements,activism,global social movements
Media and transnational and global social movements,activism,media
Media and transnational and global social movements,activism,transnational social movements
Media and transnational and global social movements,social movements,global social movements
Media and transnational and global social movements,social movements,media
Media and transnational and global social movements,social movements,transnational social movements
Media and collective identity,activism,media
Media and collective identity,activism,collective identity
Media and collective identity,social movements,media
Media and collective identity,social movements,collective identity
"Media, memories, and activist generations",activism,media
"Media, memories, and activist generations",activism,activist generations
"Media, memories, and activist generations",activism,memories
"Media, memories, and activist generations",social movements,media
"Media, memories, and activist generations",social movements,activist generations
"Media, memories, and activist generations",social movements,memories
"Social mobilization in different forms (e.g., manifestos, slogans, cartoons, memes)",activism,cartoons
"Social mobilization in different forms (e.g., manifestos, slogans, cartoons, memes)",activism,manifestos
"Social mobilization in different forms (e.g., manifestos, slogans, cartoons, memes)",activism,slogans
"Social mobilization in different forms (e.g., manifestos, slogans, cartoons, memes)",activism,social mobilization
"Social mobilization in different forms (e.g., manifestos, slogans, cartoons, memes)",activism,memes
"Social mobilization in different forms (e.g., manifestos, slogans, cartoons, memes)",social movements,cartoons
"Social mobilization in different forms (e.g., manifestos, slogans, cartoons, memes)",social movements,manifestos
"Social mobilization in different forms (e.g., manifestos, slogans, cartoons, memes)",social movements,slogans
"Social mobilization in different forms (e.g., manifestos, slogans, cartoons, memes)",social movements,social mobilization
"Social mobilization in different forms (e.g., manifestos, slogans, cartoons, memes)",social movements,memes
Media and marginalized racialized groups,activism,marginalized racialized groups
Media and marginalized racialized groups,activism,media
Media and marginalized racialized groups,social movements,marginalized racialized groups
Media and marginalized racialized groups,social movements,media
Comparative assessments of protests/movements and activists;,activism,protests
Comparative assessments of protests/movements and activists;,activism,movements
Comparative assessments of protests/movements and activists;,activism,activists
Comparative assessments of protests/movements and activists;,activism,comparative assessments
Historical protests/movements and activists;,activism,movements
Historical protests/movements and activists;,activism,activists
Historical protests/movements and activists;,activism,historical protests
Imitation and adaptation of movements;,activism,adaptation
Imitation and adaptation of movements;,activism,imitation
Imitation and adaptation of movements;,activism,movements
Repression and restriction of protest;,activism,protest
Repression and restriction of protest;,activism,repression
Repression and restriction of protest;,activism,restriction
"Gestures and actions of protest (‘cancel culture’, social media movements, etc.);",activism,gestures
"Gestures and actions of protest (‘cancel culture’, social media movements, etc.);",activism,cancel culture
"Gestures and actions of protest (‘cancel culture’, social media movements, etc.);",activism,protest
"Gestures and actions of protest (‘cancel culture’, social media movements, etc.);",activism,social media movements
"Gestures and actions of protest (‘cancel culture’, social media movements, etc.);",activism,actions
Education and other avenues of cultivating an ‘activist sensibility’;,activism,education
Education and other avenues of cultivating an ‘activist sensibility’;,activism,activist sensibility
Questions of intersectionality within movements;,activism,intersectionality
Questions of intersectionality within movements;,activism,movements
Populist politics as a form of political dissent;,activism,political dissent
Populist politics as a form of political dissent;,activism,populist politics
Commercialisation of protest,activism,protest
Commercialisation of protest,activism,commercialisation
"Geographies of protest, the ‘where’ being just as important as the ‘why’",activism,protest
"Geographies of protest, the ‘where’ being just as important as the ‘why’",activism,geographies
Violent resistance vs. civil disobedience,activism,violent resistance
Violent resistance vs. civil disobedience,activism,civil disobedience
Nationalist and separatist movements,activism,separatist movements
Nationalist and separatist movements,activism,nationalist movements
Revolutionary movements,activism,revolutionary movements
"Critiques of methods, objectives and activities of movements",activism,activities
"Critiques of methods, objectives and activities of movements",activism,objectives
"Critiques of methods, objectives and activities of movements",activism,critiques
"Critiques of methods, objectives and activities of movements",activism,movements
"Critiques of methods, objectives and activities of movements",activism,methods
Society for the study of addiction (ssa) phd symposium,addiction,addiction
Addiction and the family international network (afinet) conference,addiction,family
Addiction and the family international network (afinet) conference,addiction,addiction
West coast symposium on addictive disorders,addiction,addictive disorders
Cape cod symposium on addictive disorders,addiction,addictive disorders
Pdf legal summaries of administrative law caseskimberly m. papadantonakis,administrative law,administrative law
Cfp: compliancenet conference: extended deadline (jan 31),administrative law,compliance
"Cfp: compliancenet2025 """"evolving compliance""""",administrative law,compliance
"Cfp: compliancenet2025 """"evolving compliance""""",legal issues,compliance
"Cfp: the governance, law, and regulation of the body",administrative law,regulation
"Cfp: the governance, law, and regulation of the body",administrative law,body
"Cfp: the governance, law, and regulation of the body",administrative law,law
"Cfp: the governance, law, and regulation of the body",administrative law,governance
"Cfp: the governance, law, and regulation of the body",legal issues,regulation
"Cfp: the governance, law, and regulation of the body",legal issues,body
"Cfp: the governance, law, and regulation of the body",legal issues,law
"Cfp: the governance, law, and regulation of the body",legal issues,governance
"Cfp: the governance, law, and regulation of the body",private law,regulation
"Cfp: the governance, law, and regulation of the body",private law,body
"Cfp: the governance, law, and regulation of the body",private law,law
"Cfp: the governance, law, and regulation of the body",private law,governance
"Cfp: the governance, law, and regulation of the body",legal aspects,regulation
"Cfp: the governance, law, and regulation of the body",legal aspects,body
"Cfp: the governance, law, and regulation of the body",legal aspects,law
"Cfp: the governance, law, and regulation of the body",legal aspects,governance
How superintendent jamil maroun inspires new leaders,administrative leadership,administrative leadership
Diplomacy without compromise: a strategic framework for k12 advocacy,administrative leadership,diplomacy
Diplomacy without compromise: a strategic framework for k12 advocacy,administrative leadership,advocacy
Call for papers: reducing poverty and its consequences,adolescent health,poverty
Literacies in global context (special issue),adolescent literacy,literacy
"Adolescent, college, and adult literacy processes",literacy development,college literacy
"Adolescent, college, and adult literacy processes",literacy development,adolescent literacy
"Adolescent, college, and adult literacy processes",literacy development,adult literacy
"Adolescent, college, and adult literacy processes",adolescent literacy,college literacy
"Adolescent, college, and adult literacy processes",adolescent literacy,adolescent literacy
"Adolescent, college, and adult literacy processes",adolescent literacy,adult literacy
Counseling and adolescent psychology,adolescent psychology,counseling
Counseling and adolescent psychology,adolescent psychology,adolescent psychology
General and psychological health of teenagers and the young population,adolescent psychology,young population
General and psychological health of teenagers and the young population,adolescent psychology,teenagers
General and psychological health of teenagers and the young population,adolescent psychology,psychological health
Effectiveness of acceptance and commitment therapy (act) on anxiety and emotion regulation in girls,adolescent psychology,acceptance and commitment therapy
Effectiveness of acceptance and commitment therapy (act) on anxiety and emotion regulation in girls,adolescent psychology,anxiety
Effectiveness of acceptance and commitment therapy (act) on anxiety and emotion regulation in girls,adolescent psychology,emotion regulation
Effectiveness of acceptance and commitment therapy (act) on anxiety and emotion regulation in girls,adolescent psychology,girls
Effectiveness of psychodrama on exam anxiety in students with different coping styles,adolescent psychology,coping styles
Effectiveness of psychodrama on exam anxiety in students with different coping styles,adolescent psychology,psychodrama
Effectiveness of psychodrama on exam anxiety in students with different coping styles,adolescent psychology,exam anxiety
Effectiveness of psychodrama on exam anxiety in students with different coping styles,adolescent psychology,students
Prediction of suicide based on executive functions with the mediating role of depression symptoms,adolescent psychology,executive functions
Prediction of suicide based on executive functions with the mediating role of depression symptoms,adolescent psychology,suicide
Prediction of suicide based on executive functions with the mediating role of depression symptoms,adolescent psychology,depression symptoms
Australian journal of adult learning,adult learning,adult learning
Genre: nonfiction,advanced creative nonfiction,nonfiction
English cmco. creative nonfiction workshop: comedy and creative nonfiction,advanced creative nonfiction,comedy
English cmco. creative nonfiction workshop: comedy and creative nonfiction,advanced creative nonfiction,creative nonfiction
English cnfj. narrative journalism,advanced creative nonfiction,narrative journalism
English cnfr. creative nonfiction: workshop,advanced creative nonfiction,creative nonfiction
Genre: memoir,advanced creative nonfiction,memoir
Special issue: the role of design artifacts in design,product design,design artifacts
Special issue: the role of design artifacts in design,product design,design
Special issue: the role of design artifacts in design,advanced design,design artifacts
Special issue: the role of design artifacts in design,advanced design,design
Joint special issue on advances in design and manufacturing for sustainability,product design,sustainability
Joint special issue on advances in design and manufacturing for sustainability,product design,design
Joint special issue on advances in design and manufacturing for sustainability,product design,manufacturing
Joint special issue on advances in design and manufacturing for sustainability,advanced design,sustainability
Joint special issue on advances in design and manufacturing for sustainability,advanced design,design
Joint special issue on advances in design and manufacturing for sustainability,advanced design,manufacturing
Joint special issue on advances in design and manufacturing for sustainability,design for manufacturability,sustainability
Joint special issue on advances in design and manufacturing for sustainability,design for manufacturability,design
Joint special issue on advances in design and manufacturing for sustainability,design for manufacturability,manufacturing
Special issue: emerging technologies and methods for early-stage product design and development,product design,methods
Special issue: emerging technologies and methods for early-stage product design and development,product design,development
Special issue: emerging technologies and methods for early-stage product design and development,product design,product design
Special issue: emerging technologies and methods for early-stage product design and development,product design,emerging technologies
Special issue: emerging technologies and methods for early-stage product design and development,advanced design,methods
Special issue: emerging technologies and methods for early-stage product design and development,advanced design,development
Special issue: emerging technologies and methods for early-stage product design and development,advanced design,product design
Special issue: emerging technologies and methods for early-stage product design and development,advanced design,emerging technologies
Special issue: design for advanced manufacturing – january,product design,design
Special issue: design for advanced manufacturing – january,product design,advanced manufacturing
Special issue: design for advanced manufacturing – january,advanced design,design
Special issue: design for advanced manufacturing – january,advanced design,advanced manufacturing
Special issue: design for advanced manufacturing – january,design for manufacturability,design
Special issue: design for advanced manufacturing – january,design for manufacturability,advanced manufacturing
Call for papers: design by data: cultivating datasets for engineering design,product design,engineering design
Call for papers: design by data: cultivating datasets for engineering design,product design,design by data
Call for papers: design by data: cultivating datasets for engineering design,product design,datasets
Call for papers: design by data: cultivating datasets for engineering design,advanced design,engineering design
Call for papers: design by data: cultivating datasets for engineering design,advanced design,design by data
Call for papers: design by data: cultivating datasets for engineering design,advanced design,datasets
Call for papers data-driven design under uncertainty,product design,uncertainty
Call for papers data-driven design under uncertainty,product design,data-driven design
Call for papers data-driven design under uncertainty,advanced design,uncertainty
Call for papers data-driven design under uncertainty,advanced design,data-driven design
The reaction to sars-cov-2: an immunological retrospective,advanced immunology,immunology
The reaction to sars-cov-2: an immunological retrospective,advanced immunology,sars-cov-2
11th international gamma/delta t cell conference,advanced immunology,delta t cells
11th international gamma/delta t cell conference,advanced immunology,gamma t cells
darbo-type fixed point theorems via the vector degree of nondensifiability and applications,advanced mathematics,fixed point theorems
darbo-type fixed point theorems via the vector degree of nondensifiability and applications,advanced mathematics,nondensifiability
"the (p, q)-analog of the sălăgean-type multivalent harmonic functions associated with subordination",advanced mathematics,subordination
"the (p, q)-analog of the sălăgean-type multivalent harmonic functions associated with subordination",advanced mathematics,multivalent harmonic functions
on homogeneous system of fractal differential equations,advanced mathematics,fractal differential equations
continuous stochastic dynamics of games with three pure strategies subject to intrinsic noise,advanced mathematics,games
continuous stochastic dynamics of games with three pure strategies subject to intrinsic noise,advanced mathematics,intrinsic noise
continuous stochastic dynamics of games with three pure strategies subject to intrinsic noise,advanced mathematics,stochastic dynamics
call for papers: special issue on “nonlinear analysis and applications”,advanced mathematics,nonlinear analysis
"Call for papers: special issue on ""perturbations, asymptotics, and related tools""",advanced mathematics,perturbations
"Call for papers: special issue on ""perturbations, asymptotics, and related tools""",advanced mathematics,asymptotics
Call for papers: advanced mechatronics empowered by ai,advanced mechatronics,ai
Call for papers: advanced mechatronics empowered by ai,advanced mechatronics,advanced mechatronics
Call for papers: advances in machine learning for robotics and industry applications,advanced mechatronics,industry applications
Call for papers: advances in machine learning for robotics and industry applications,advanced mechatronics,robotics
Call for papers: advances in machine learning for robotics and industry applications,advanced mechatronics,machine learning
Call for papers: adaptable ai-enabled robots to encourage the challenge of new activities,advanced mechatronics,ai-enabled robots
The carotid endarterectomy cadaveric investigation for cranial nerve injuries: anatomical study,advanced neuroanatomy,anatomical study
The carotid endarterectomy cadaveric investigation for cranial nerve injuries: anatomical study,advanced neuroanatomy,carotid endarterectomy
The carotid endarterectomy cadaveric investigation for cranial nerve injuries: anatomical study,advanced neuroanatomy,cranial nerve injuries
Assessment of nutrition literacy,advanced nutrition,nutrition literacy
Assessment of nutrition literacy,community nutrition,nutrition literacy
Impact of nutrition literacy on diet quality,advanced nutrition,nutrition literacy
Impact of nutrition literacy on diet quality,advanced nutrition,diet quality
Impact of nutrition literacy on diet quality,community nutrition,nutrition literacy
Impact of nutrition literacy on diet quality,community nutrition,diet quality
Nutrition literacy across the lifecycle,advanced nutrition,nutrition literacy
Nutrition literacy across the lifecycle,advanced nutrition,lifecycle
Nutrition literacy across the lifecycle,community nutrition,nutrition literacy
Nutrition literacy across the lifecycle,community nutrition,lifecycle
Influence of social media on nutrition literacy and nutrition decisions,advanced nutrition,nutrition literacy
Influence of social media on nutrition literacy and nutrition decisions,advanced nutrition,social media
Influence of social media on nutrition literacy and nutrition decisions,advanced nutrition,nutrition decisions
Influence of social media on nutrition literacy and nutrition decisions,community nutrition,nutrition literacy
Influence of social media on nutrition literacy and nutrition decisions,community nutrition,social media
Influence of social media on nutrition literacy and nutrition decisions,community nutrition,nutrition decisions
Programs and interventions addressing nutrition literacy among various populations.,advanced nutrition,populations
Programs and interventions addressing nutrition literacy among various populations.,advanced nutrition,interventions
Programs and interventions addressing nutrition literacy among various populations.,advanced nutrition,nutrition literacy
Programs and interventions addressing nutrition literacy among various populations.,advanced nutrition,programs
Programs and interventions addressing nutrition literacy among various populations.,community nutrition,populations
Programs and interventions addressing nutrition literacy among various populations.,community nutrition,interventions
Programs and interventions addressing nutrition literacy among various populations.,community nutrition,nutrition literacy
Programs and interventions addressing nutrition literacy among various populations.,community nutrition,programs
"Mathematics: advanced optimization methods and applications, 2nd edition",advanced optimization,advanced optimization
Bilevel optimization theory and algorithms and applications to wireless communication network design,advanced optimization,wireless communication network design
Bilevel optimization theory and algorithms and applications to wireless communication network design,advanced optimization,bilevel optimization
Clinical pharmacology & therapeutics,advanced pharmacology,therapeutics
Clinical pharmacology & therapeutics,advanced pharmacology,clinical pharmacology
Clinical pharmacology & therapeutics,clinical pharmacology,therapeutics
Clinical pharmacology & therapeutics,clinical pharmacology,clinical pharmacology
Clinical pharmacology & therapeutics,clinical trials,therapeutics
Clinical pharmacology & therapeutics,clinical trials,clinical pharmacology
Cpt: pharmacometrics & systems pharmacology,advanced pharmacology,pharmacometrics
Cpt: pharmacometrics & systems pharmacology,advanced pharmacology,systems pharmacology
Cpt: pharmacometrics & systems pharmacology,clinical pharmacology,pharmacometrics
Cpt: pharmacometrics & systems pharmacology,clinical pharmacology,systems pharmacology
Cpt: pharmacometrics & systems pharmacology,clinical trials,pharmacometrics
Cpt: pharmacometrics & systems pharmacology,clinical trials,systems pharmacology
Clinical and translational science,advanced pharmacology,translational science
Clinical and translational science,advanced pharmacology,clinical science
Clinical and translational science,clinical pharmacology,translational science
Clinical and translational science,clinical pharmacology,clinical science
Clinical and translational science,clinical trials,translational science
Clinical and translational science,clinical trials,clinical science
"Special issues integrating biomechanics, energetics and ecology in locomotion",experimental analysis,ecology
"Special issues integrating biomechanics, energetics and ecology in locomotion",experimental analysis,energetics
"Special issues integrating biomechanics, energetics and ecology in locomotion",experimental analysis,locomotion
"Special issues integrating biomechanics, energetics and ecology in locomotion",experimental analysis,biomechanics
"Special issues integrating biomechanics, energetics and ecology in locomotion",evolutionary genetics,ecology
"Special issues integrating biomechanics, energetics and ecology in locomotion",evolutionary genetics,energetics
"Special issues integrating biomechanics, energetics and ecology in locomotion",evolutionary genetics,locomotion
"Special issues integrating biomechanics, energetics and ecology in locomotion",evolutionary genetics,biomechanics
"Special issues integrating biomechanics, energetics and ecology in locomotion",systems physiology,ecology
"Special issues integrating biomechanics, energetics and ecology in locomotion",systems physiology,energetics
"Special issues integrating biomechanics, energetics and ecology in locomotion",systems physiology,locomotion
"Special issues integrating biomechanics, energetics and ecology in locomotion",systems physiology,biomechanics
"Special issues integrating biomechanics, energetics and ecology in locomotion",life science,ecology
"Special issues integrating biomechanics, energetics and ecology in locomotion",life science,energetics
"Special issues integrating biomechanics, energetics and ecology in locomotion",life science,locomotion
"Special issues integrating biomechanics, energetics and ecology in locomotion",life science,biomechanics
"Special issues integrating biomechanics, energetics and ecology in locomotion",advanced physiology,ecology
"Special issues integrating biomechanics, energetics and ecology in locomotion",advanced physiology,energetics
"Special issues integrating biomechanics, energetics and ecology in locomotion",advanced physiology,locomotion
"Special issues integrating biomechanics, energetics and ecology in locomotion",advanced physiology,biomechanics
"Special issues integrating biomechanics, energetics and ecology in locomotion",evolutionary biology,ecology
"Special issues integrating biomechanics, energetics and ecology in locomotion",evolutionary biology,energetics
"Special issues integrating biomechanics, energetics and ecology in locomotion",evolutionary biology,locomotion
"Special issues integrating biomechanics, energetics and ecology in locomotion",evolutionary biology,biomechanics
Call for papers: the integrative biology of exercise,life science,integrative biology
Call for papers: the integrative biology of exercise,life science,exercise
Call for papers: the integrative biology of exercise,systems physiology,integrative biology
Call for papers: the integrative biology of exercise,systems physiology,exercise
Call for papers: the integrative biology of exercise,advanced physiology,integrative biology
Call for papers: the integrative biology of exercise,advanced physiology,exercise
(this article belongs to the special issue advances in soil mechanics & foundation engineering),advanced soil mechanics,foundation engineering
(this article belongs to the special issue advances in soil mechanics & foundation engineering),advanced soil mechanics,soil mechanics
Spatial deformation calculation and parameter analysis of pile–anchor retaining structure,advanced soil mechanics,pile-anchor retaining structure
Spatial deformation calculation and parameter analysis of pile–anchor retaining structure,advanced soil mechanics,spatial deformation
Optimization and statistical learning workshop,mathematical statistics,statistical learning
Optimization and statistical learning workshop,mathematical statistics,optimization
Optimization and statistical learning workshop,applied biostatistics,statistical learning
Optimization and statistical learning workshop,applied biostatistics,optimization
Optimization and statistical learning workshop,advanced statistics,statistical learning
Optimization and statistical learning workshop,advanced statistics,optimization
Optimization and statistical learning workshop,statistical modeling,statistical learning
Optimization and statistical learning workshop,statistical modeling,optimization
Upenn 17th annual conference on statistical issues in clinical trials,applied biostatistics,statistical issues
Upenn 17th annual conference on statistical issues in clinical trials,applied biostatistics,clinical trials
Upenn 17th annual conference on statistical issues in clinical trials,advanced statistics,statistical issues
Upenn 17th annual conference on statistical issues in clinical trials,advanced statistics,clinical trials
Upenn 17th annual conference on statistical issues in clinical trials,statistical modeling,statistical issues
Upenn 17th annual conference on statistical issues in clinical trials,statistical modeling,clinical trials
The 3rd international mathematics and statistics student research symposium,advanced statistics,statistics
The 3rd international mathematics and statistics student research symposium,advanced statistics,mathematics
The 3rd international mathematics and statistics student research symposium,statistical modeling,statistics
The 3rd international mathematics and statistics student research symposium,statistical modeling,mathematics
2025 symposium on data science and statistics,advanced statistics,data science
2025 symposium on data science and statistics,advanced statistics,statistics
2025 symposium on data science and statistics,statistical modeling,data science
2025 symposium on data science and statistics,statistical modeling,statistics
"The past, present and future of statistics in the era of ai",advanced statistics,statistics
"The past, present and future of statistics in the era of ai",advanced statistics,ai
The 10th workshop on biostatistics and bioinformatics,mathematical statistics,biostatistics
The 10th workshop on biostatistics and bioinformatics,mathematical statistics,bioinformatics
The 10th workshop on biostatistics and bioinformatics,applied biostatistics,biostatistics
The 10th workshop on biostatistics and bioinformatics,applied biostatistics,bioinformatics
The 10th workshop on biostatistics and bioinformatics,advanced statistics,biostatistics
