conference_topic,journal,extracted_concept
"Us history social studies: adapted esl newcomer texts, activities, curriculum",adapted curriculum,social studies
"Us history social studies: adapted esl newcomer texts, activities, curriculum",adapted curriculum,history
40 adapted science units special education elementary science curriculum bundle,adapted curriculum,science education
Special education curriculum special ed reading special ed math curriculum adapt,adapted curriculum,mathematics education
Special education curriculum special ed reading special ed math curriculum adapt,adapted curriculum,special education
Special education curriculum special ed reading special ed math curriculum adapt,adapted curriculum,reading education
Elementary adapted physical education lesson plans- 1 yr curriculum,adapted curriculum,physical education
Who lives in trees? adapted book tree study curriculum creative,adapted curriculum,ecology
Marathon runner daily lesson plans (adapted from the new visions curriculum)ngss,adapted curriculum,exercise physiology
Marathon runner daily lesson plans (adapted from the new visions curriculum)ngss,adapted curriculum,physical education
Buildings adapted book bundle buildings study curriculum creative,adapted curriculum,building science
Buildings adapted book bundle buildings study curriculum creative,adapted curriculum,architecture
Music for everyone: adapting a music curriculum for young children with autism,adapted curriculum,special education
Music for everyone: adapting a music curriculum for young children with autism,adapted curriculum,music education
Music for everyone: adapting a music curriculum for young children with autism,adapted curriculum,autism studies
What do pet's eat? adapted book pet study curriculum creative,adapted curriculum,veterinary science
What do pet's eat? adapted book pet study curriculum creative,adapted curriculum,animal nutrition
Integrated technology,adapted curriculum,integrated technology
"High-quality, differentiated literature",adapted curriculum,literature
Instructional planning,exceptional children,educational planning
Literacy instruction,exceptional children,literacy education
professional collaboration,exceptional children,special education
professional collaboration,exceptional children,collaborative practices
Semantic memory,adaptive memory,semantic memory
Trials of the use of adaptive radiotherapy that evaluate online adaptation and motion management,adaptive radiotherapy,radiotherapy
Trials of the use of adaptive radiotherapy that evaluate online adaptation and motion management,adaptive radiotherapy,medical physics
Towards a consensus on pre treatment verification in particle therapy,treatment verification,particle therapy
Quality assurance for online adaptive radiotherapy,treatment verification,quality assurance
Pre-meeting survey on the current status of pre-treatment qa,treatment verification,quality assurance
Substance use disorders,adolescent behavioral health,substance use disorders
Mental health,adolescent behavioral health,mental health
Mental health,clinical geropsychology,mental health
Anxiety disorder,clinical geropsychology,anxiety disorders
Bipolar disorder,clinical geropsychology,bipolar disorder
Mental health,substance use,mental health
Global health,substance use,global health
Criminal justice,substance use,criminal justice
Alcohol,substance use,alcohol studies
Cannabis (marijuana),substance use,cannabis
Cocaine,substance use,cocaine
Fentanyl,substance use,fentanyl
Heroin,substance use,heroin
Inhalants,substance use,substance use
Ketamine,substance use,substance use
Kratom,substance use,substance use
Methamphetamine,substance use,substance use
Mdma (ecstasy/molly),substance use,substance use
Over-the-counter medicines,substance use,pharmacology
Over-the-counter medicines,substance use,over-the-counter drugs
Prescription medicines,substance use,prescription drugs
Prescription medicines,substance use,pharmacology
Psilocybin (magic mushrooms),substance use,psychedelic pharmacology
Psilocybin (magic mushrooms),substance use,mycology
Psychedelic and dissociative drugs as medicines,substance use,psychopharmacology
Psychedelic and dissociative drugs as medicines,substance use,psychedelic pharmacology
Psychedelic and dissociative drugs as medicines,substance use,dissociative pharmacology
Steroids (anabolic),substance use,anabolic steroids
Steroids (anabolic),substance use,endocrinology
Steroids (anabolic),substance use,pharmacology
Tobacco/nicotine and vaping,substance use,vaping
Addiction science,substance use,addiction science
Co-occurring disorders and health conditions,substance use,health conditions
Drug testing,substance use,drug testing
Drugs and the brain,substance use,neuroscience
Harm reduction,substance use,harm reduction
Hepatitis,substance use,hepatology
Medications for opioid use disorder,substance use,opioid use disorder
Medications for opioid use disorder,substance use,pharmacology
Overdose prevention centers,substance use,overdose prevention
Overdose reversal medications,substance use,overdose reversal
Overdose reversal medications,substance use,pharmacology
Recovery,substance use,substance use recovery
Syringe services programs,substance use,public health programs
Syringe services programs,substance use,harm reduction
Trauma and stress,substance use,stress
Trauma and stress,substance use,trauma
Treatment,substance use,substance use treatment
Body mass index,adolescent cardiovascular health,body mass index
Cardiovascular diseases,adolescent cardiovascular health,cardiovascular diseases
Metabolic syndrome,adolescent cardiovascular health,metabolic syndrome
Overweight,adolescent cardiovascular health,overweight
Body mass index,cardiometabolic risk,body mass index
Obesity,cardiometabolic risk,obesity
Cardiometabolic risk: bridging metabolic syndrome to global cvd risk assessment,cardiometabolic risk,cardiovascular disease risk assessment
Cardiometabolic risk: bridging metabolic syndrome to global cvd risk assessment,cardiometabolic risk,metabolic syndrome
Polycystic ovary syndrome,cardiometabolic risk,polycystic ovary syndrome
Insulin resistance,cardiometabolic risk,insulin resistance
Dyslipidemia,cardiometabolic risk,lipid disorders
Adipose tissue,cardiometabolic risk,adipose tissue
Cardiovascular risk,cardiometabolic risk,cardiovascular diseases
Nonalcoholic fatty liver,cardiometabolic risk,nonalcoholic fatty liver disease
The impact of diabetes and cardiovascular disease (cvd) in women,cardiometabolic risk,women's health
The impact of diabetes and cardiovascular disease (cvd) in women,cardiometabolic risk,diabetes
The impact of diabetes and cardiovascular disease (cvd) in women,cardiometabolic risk,cardiovascular disease
Metabolic syndrome,metabolic signaling,metabolic syndrome
Skeletal muscle,metabolic signaling,muscle physiology
Skeletal muscle,metabolic signaling,skeletal muscle biology
Obesity,metabolic signaling,obesity research
Adipose tissue,metabolic signaling,adipose tissue biology
Transcription factor,metabolic signaling,molecular biology
Transcription factor,metabolic signaling,gene regulation
"Role of mitochondria in cellular signaling, including apoptosis and metabolic signaling",metabolic signaling,mitochondrial biology
"Role of mitochondria in cellular signaling, including apoptosis and metabolic signaling",metabolic signaling,apoptosis
"Role of mitochondria in cellular signaling, including apoptosis and metabolic signaling",metabolic signaling,cell signaling
Gene expression,metabolic signaling,gene expression
Activated protein kinase,metabolic signaling,protein kinase
Phosphorylation,metabolic signaling,cell signaling
Phosphorylation,metabolic signaling,biochemistry
Overweight,body composition,obesity
Aerobic exercise,body composition,exercise science
Skeletal muscle,body composition,muscle physiology
Skeletal muscle,body composition,anatomy
Physical exercise,body composition,exercise science
Obesity,body composition,obesity
Adolescent self-management,adolescent chronic illness,adolescent health
Adolescent self-management,adolescent chronic illness,self-management
Tensions in transition,adolescent chronic illness,healthcare transition
Collaborative management,adolescent chronic illness,collaborative management
Healthcare transition,adolescent chronic illness,healthcare transition
Structural brain development,adolescent cognition,structural neuroscience
Structural brain development,adolescent cognition,brain development
Social cognitive development,adolescent cognition,social cognition
Social cognitive development,adolescent cognition,cognitive development
Development of cognitive control,adolescent cognition,cognitive development
Development of cognitive control,adolescent cognition,cognitive control
Emotional regulation,adolescent cognition,emotional regulation
Value-based learning and decision-making,adolescent cognition,decision-making
Value-based learning and decision-making,adolescent cognition,value-based learning
"“no more a child, not yet an adult”: studying social cognition in adolescence",adolescent cognition,social cognition
Analyze the important role of play and its relationship to adolescent development,adolescent development,adolescent development
Analyze the important role of play and its relationship to adolescent development,adolescent development,play studies
How does society affect adolescent development?,adolescent development,adolescent development
Can adolescent development change according to culture and upbringing?,adolescent development,adolescent development
Understand adolescence in relation to identity and culture,adolescent development,cultural studies
Understand adolescence in relation to identity and culture,adolescent development,identity studies
Understand adolescence in relation to identity and culture,adolescent development,adolescent development
"Understand the effect of trauma, hospitalization, and illness have on adolescence and development",adolescent development,health psychology
"Understand the effect of trauma, hospitalization, and illness have on adolescence and development",adolescent development,trauma studies
"Understand the effect of trauma, hospitalization, and illness have on adolescence and development",adolescent development,adolescent development
Adolescence: behavioral issues and communication strategies,adolescent development,adolescent psychology
Adolescence: behavioral issues and communication strategies,adolescent development,communication studies
Adolescence: behavioral issues and communication strategies,adolescent development,behavioral science
The impact of social issues on the development of adolescence,adolescent development,social issues
The impact of social issues on the development of adolescence,adolescent development,adolescent development
"Dating, sex, and romance: adolescence and digital media",adolescent development,digital media studies
"Dating, sex, and romance: adolescence and digital media",adolescent development,adolescent psychology
Adolescence: biological and psychosocial perspectives,adolescent development,psychosocial studies
Adolescence: biological and psychosocial perspectives,adolescent development,adolescent biology
Socioemotional development in adolescence,adolescent development,adolescent psychology
Socioemotional development in adolescence,adolescent development,socioemotional development
What social changes happen in adolescence?,adolescent development,social development
How do physical changes affect adolescents?,adolescent development,physical development
Sports participation and social capital formation during adolescence,adolescent development,sports science
Sports participation and social capital formation during adolescence,adolescent development,social capital
The physical and psychological changes that occur during adolescence,adolescent development,physical development
Sexism and aggression in adolescence—how do they relate to perceived academic achievement,adolescent development,adolescent psychology
Sexism and aggression in adolescence—how do they relate to perceived academic achievement,adolescent development,aggression
Understanding sexuality during the adolescence stage of our lives,adolescent development,adolescent psychology
Understanding sexuality during the adolescence stage of our lives,adolescent development,sexuality
"Peer affiliation, social behavior, and callous unemotional traits in adolescence",adolescent development,callous unemotional traits
"Peer affiliation, social behavior, and callous unemotional traits in adolescence",adolescent development,social behavior
The major hormonal changes that occur during adolescence,adolescent development,endocrinology
Personality and optimal experience in adolescence: implications for well-being and development,adolescent development,positive psychology
Personality and optimal experience in adolescence: implications for well-being and development,adolescent development,personality psychology
Personality and optimal experience in adolescence: implications for well-being and development,adolescent development,adolescent development
Gender roles and socialization in adolescence,adolescent development,socialization
Gender roles and socialization in adolescence,adolescent development,gender studies
The middle adolescence stage of development,adolescent development,adolescent development
Adolescence as a critical time for a human,adolescent development,adolescent development
The relationship between divorce and adolescence,adolescent development,divorce studies
Puberty titles,adolescent development,puberty
Moral development essay topics,adolescent development,moral development
Value driven attentional capture of adolescence,adolescent development,attention
Treating non-malignant pain in adolescence with medical marijuana,adolescent development,pain management
Treating non-malignant pain in adolescence with medical marijuana,adolescent development,adolescent medicine
The psychological and physical aspects of drug abuse in today’s adolescence,adolescent development,adolescent health
The psychological and physical aspects of drug abuse in today’s adolescence,adolescent development,psychology
The psychological and physical aspects of drug abuse in today’s adolescence,adolescent development,physical health
Theories of child development as they pertain to middle childhood and adolescence,adolescent development,child development
Theories of child development as they pertain to middle childhood and adolescence,adolescent development,developmental psychology
Theories of child development as they pertain to middle childhood and adolescence,adolescent development,adolescent development
An analysis of the concept of adolescence and the juvenile delinquency,adolescent development,juvenile delinquency
An analysis of the concept of adolescence and the juvenile delinquency,adolescent development,adolescent studies
An analysis of the concept of adolescence and the juvenile delinquency,adolescent development,criminology
Adolescence sexuality defining sexual self the other issue,adolescent development,adolescent sexuality
Working and studying in rural latin america: critical decisions of adolescence,adolescent development,labor studies
Working and studying in rural latin america: critical decisions of adolescence,adolescent development,rural studies
Working and studying in rural latin america: critical decisions of adolescence,adolescent development,latin american studies
Working and studying in rural latin america: critical decisions of adolescence,adolescent development,adolescent studies
Understanding the adolescence and behaviorism in psychology,adolescent development,psychology
Understanding the adolescence and behaviorism in psychology,adolescent development,behaviorism
Pros and cons of internet as the primary source of globalization of adolescence,adolescent development,globalization
Pros and cons of internet as the primary source of globalization of adolescence,adolescent development,internet studies
Genital findings in cases of child sexual abuse: genital vs vaginal penetration,adolescent gynecology,forensic medicine
Genital findings in cases of child sexual abuse: genital vs vaginal penetration,adolescent gynecology,child sexual abuse
Social emotional learning,adolescent learning,social emotional learning
Experiences of learning in mixed gender peer groups,adolescent learning,peer learning
"Transformation of gender norms, beliefs and behaviors",adolescent learning,gender studies
"Novelty, motivational learning and mastery experiences with technology",adolescent learning,mastery learning
"Novelty, motivational learning and mastery experiences with technology",adolescent learning,motivational learning
"Novelty, motivational learning and mastery experiences with technology",adolescent learning,educational technology
"Extending learning, practice and reflection outside the classroom",adolescent learning,reflective practice
"Extending learning, practice and reflection outside the classroom",adolescent learning,learning
"Extending learning, practice and reflection outside the classroom",adolescent learning,educational practice
Development of emotional mindsets and skills,adolescent learning,emotional development
Development of emotional mindsets and skills,adolescent learning,mindset theory
Development of emotional mindsets and skills,adolescent learning,emotional skills
Adolescence,adolescent learning,adolescent development
Science and stem,elementary education curriculum,stem
Science and stem,elementary education curriculum,science
Mandarin dual language program,elementary education curriculum,mandarin language
Mandarin dual language program,elementary education curriculum,dual language education
Introducing multiplication,elementary education curriculum,multiplication
Wrapping up addition and subtraction within 1,elementary education curriculum,subtraction
Wrapping up addition and subtraction within 1,elementary education curriculum,addition
"Measuring length, time, liquid volume, and weight",elementary education curriculum,measurement
Two-dimensional shapes and perimeter,elementary education curriculum,geometry
Social studies alive! america’s past,elementary education curriculum,social studies
Social studies alive! america’s past,elementary education curriculum,american history
Begins to identify and name 11-20 upper- and 11-20 lowercase letters when presented in random order,elementary education curriculum,alphabet knowledge
"Uses drawing, dictation, and early invented spelling to convey a message",elementary education curriculum,early literacy
Arc core (american reading company) for k-5 reading comprehension and writing,elementary education curriculum,writing
Arc core (american reading company) for k-5 reading comprehension and writing,elementary education curriculum,reading comprehension
Ufli (university of florida literacy institute) foundations for k-2 phonics,elementary education curriculum,phonics
Heggerty for prek-1 phonemic awareness (adopted spring of 2023),elementary education curriculum,phonemic awareness
Heggerty for prek-1 phonemic awareness (adopted spring of 2023),elementary education curriculum,early literacy
Recognize basic chinese characters and sentence patterns,elementary education curriculum,chinese language
Hear the correct pronunciation of words in mandarin,elementary education curriculum,mandarin language
Hear the correct pronunciation of words in mandarin,elementary education curriculum,phonetics
Understand basic mandarin words,elementary education curriculum,mandarin language
Adolescent literacy should be critical,adolescent literacy processes,critical literacy
Adolescent literacy should be critical,adolescent literacy processes,adolescent literacy
Attention to composition is sorely needed,adolescent literacy processes,composition studies
Recognize the purpose of text structure and how the writer uses it to create effect.,adolescent literacy processes,text structure
Recognize the purpose of text structure and how the writer uses it to create effect.,adolescent literacy processes,rhetoric
Infer beyond literal interpretations.,adolescent literacy processes,literary interpretation
"Question and investigate various social, political, and historical context.",adolescent literacy processes,historical context studies
"Question and investigate various social, political, and historical context.",adolescent literacy processes,political context studies
"Question and investigate various social, political, and historical context.",adolescent literacy processes,social context studies
Understand multiple meanings and richness of texts and layers of complexity.,adolescent literacy processes,literary analysis
Application of metacognitive strategies.,adolescent literacy processes,educational psychology
Application of metacognitive strategies.,adolescent literacy processes,metacognition
Recognition of bias and high-quality sources.,adolescent literacy processes,information literacy
Medical clinics in junior high school: changing the model to meet demands,adolescent primary care,primary care
Medical clinics in junior high school: changing the model to meet demands,adolescent primary care,adolescent medicine
Medical clinics in junior high school: changing the model to meet demands,adolescent primary care,school health services
Predicting incentives to change among adolescents with substance abuse disorder,adolescent primary care,behavioral health
Predicting incentives to change among adolescents with substance abuse disorder,adolescent primary care,substance abuse
Predicting incentives to change among adolescents with substance abuse disorder,adolescent primary care,adolescent medicine
Race and gender differences in the treatment of psychiatric disorders in young adolescents,adolescent primary care,adolescent medicine
Race and gender differences in the treatment of psychiatric disorders in young adolescents,adolescent primary care,psychiatry
Race and gender differences in the treatment of psychiatric disorders in young adolescents,adolescent primary care,gender studies
Race and gender differences in the treatment of psychiatric disorders in young adolescents,adolescent primary care,health disparities
Expanding telehealth services,adult behavioral health,healthcare delivery
Expanding telehealth services,adult behavioral health,telehealth
Promoting diversity in the behavioral health workforce,adult behavioral health,diversity
Promoting diversity in the behavioral health workforce,adult behavioral health,health workforce
Traditional workforce development strategies to address shortages and maldistributions,adult behavioral health,workforce development
Traditional workforce development strategies to address shortages and maldistributions,adult behavioral health,health policy
Vi: ross procedure deep dive (concurrent session),adult cardiac surgery,cardiac surgery
Vii: mitral / tricuspid master class (concurrent session),adult cardiac surgery,cardiac surgery
Viii: aortic arch (concurrent session),adult cardiac surgery,cardiac surgery
Ix: transcatheter minimally invasive therapies update (concurrent session),adult cardiac surgery,minimally invasive surgery
Ix: transcatheter minimally invasive therapies update (concurrent session),adult cardiac surgery,cardiac surgery
X: perioperative care for aortic surgery (concurrent session),adult cardiac surgery,perioperative care
X: perioperative care for aortic surgery (concurrent session),adult cardiac surgery,cardiac surgery
Xi: descending and thoracoabdominal aorta,adult cardiac surgery,vascular surgery
≥50% stenosis of the left main coronary artery.,adult cardiac surgery,coronary artery disease
Three-vessel ≥70% stenosis with or without proximal left anterior descending involvement.,adult cardiac surgery,coronary artery disease
Two-vessel ≥70% including the left anterior descending with one other major vessel.,adult cardiac surgery,coronary artery disease
Explain mitral and tricuspid valve interventions and treatments: evaluate the evidence,adult cardiac surgery,cardiac surgery
"Evaluate contemporary treatment modalities for aortic dissection, including surgical and non",adult cardiac surgery,aortic dissection
Explain the anatomical challenges and considerations for aortic arch surgery.,adult cardiac surgery,aortic arch surgery
Established adulthood,adult development,adult development
Aging is different from disease,adult development,aging
Self-identity,adult development,identity studies
"Current state (cognitive, emotional, behavioral)",adult development,emotional psychology
"Current state (cognitive, emotional, behavioral)",adult development,cognitive psychology
Adult learning models and theory,adult learning,learning theory
Foundations of adult and continuing education,adult learning,adult education
Foundations of adult and continuing education,adult learning,continuing education
Contemporary issues in adult and continuing education,adult learning,adult education
Contemporary issues in adult and continuing education,adult learning,continuing education
Distance learning,adult learning,distance education
Teaching practices and administrative leadership,adult learning,teaching practices
Teaching practices and administrative leadership,adult learning,educational leadership
Formal and informal learning contexts,adult learning,informal learning
Formal and informal learning contexts,adult learning,formal learning
Languages of power: literacy’s role in social access,adult learning,social access
Instructional responses to individual differences in literacy learning,adult learning,literacy education
Instructional responses to individual differences in literacy learning,adult learning,individual differences
The visual and the verbal: multiliteracies and multimodal communications,adult learning,multiliteracies
The visual and the verbal: multiliteracies and multimodal communications,adult learning,multimodal communication
Literacy in learning: language in learning across the subject areas,adult learning,literacy education
Literacy in learning: language in learning across the subject areas,adult learning,language education
The changing role of libraries in literacies learning,adult learning,literacy education
The changing role of libraries in literacies learning,adult learning,library science
Defining new literacies,literacy learning,literacy
Languages of power: literacy’s role in social access,literacy learning,literacy
Instructional responses to individual differences in literacy learning,literacy learning,literacy
The visual and the verbal: multiliteracies and multimodal communications,literacy learning,multiliteracy
The visual and the verbal: multiliteracies and multimodal communications,literacy learning,multimodal communication
Literacy in learning: language in learning across the subject areas,literacy learning,language education
The changing role of libraries in literacies learning,literacy learning,literacy studies
The changing role of libraries in literacies learning,literacy learning,library science
"Early childhood literacies, arts and communications",literacy learning,communication studies
"Early childhood literacies, arts and communications",literacy learning,early childhood literacy
"Early childhood literacies, arts and communications",literacy learning,arts
Influences of family and social/cultural environments on early learning,literacy learning,early childhood education
Influences of family and social/cultural environments on early learning,literacy learning,cultural studies
Influences of family and social/cultural environments on early learning,literacy learning,social environment studies
Influences of family and social/cultural environments on early learning,literacy learning,family studies
"Early childhood education: the roles of daycare, preschool, kindergartens",literacy learning,early childhood education
"Early childhood education: the roles of daycare, preschool, kindergartens",literacy learning,childcare studies
Languages of power: literacy’s role in social access,new literacies,social access
Instructional responses to individual differences in literacy learning,new literacies,learning sciences
The visual and the verbal: multiliteracies and multimodal communications,new literacies,multiliteracies
The visual and the verbal: multiliteracies and multimodal communications,new literacies,multimodal communication
Literacy in learning: language in learning across the subject areas,new literacies,language education
"Adolescent, college, and adult literacy processes",adult literacy processes,adolescent literacy
"Adolescent, college, and adult literacy processes",adult literacy processes,college literacy
Discourses and social practices of literary reading,college literacy processes,literary reading
Discourses and social practices of literary reading,college literacy processes,discourse analysis
Discourses and social practices of literary reading,college literacy processes,social practices
Literature across the curriculum,college literacy processes,literature
Literature across the curriculum,college literacy processes,curriculum studies
Literature and content analyses,college literacy processes,literature
Literature and content analyses,college literacy processes,content analysis
"Literature in schools, libraries, and communities",college literacy processes,community studies
"Literature in schools, libraries, and communities",college literacy processes,literature
"Literature in schools, libraries, and communities",college literacy processes,education
"Literature in schools, libraries, and communities",college literacy processes,library science
Reader response theory,college literacy processes,reader response theory
Identity and literary reading,college literacy processes,literary reading
Identity and literary reading,college literacy processes,identity studies
"Technology, literature, and textual studies",college literacy processes,literature
"Technology, literature, and textual studies",college literacy processes,textual studies
Bilingualism and bi-literacy,college literacy processes,bilingualism
Emergent bilingual/biliteracy,college literacy processes,biliteracy
Esl policies and practices,college literacy processes,english as a second language
Esl policies and practices,college literacy processes,language policy
Second language learning,college literacy processes,second language acquisition
"Translanguaging, linguistic ethnography, language variations",college literacy processes,translanguaging
"Translanguaging, linguistic ethnography, language variations",college literacy processes,linguistic ethnography
"Comprehension, writing, spelling, vocabulary",college literacy processes,writing
"Comprehension, writing, spelling, vocabulary",college literacy processes,vocabulary
"Comprehension, writing, spelling, vocabulary",college literacy processes,reading comprehension
"Comprehension, writing, spelling, vocabulary",college literacy processes,spelling
Digital literacies; technology and literacy,college literacy processes,digital literacy
Digital literacies; technology and literacy,college literacy processes,educational technology
Equity and literacy,college literacy processes,educational equity
Literacy learning and popular culture; popular education,college literacy processes,literacy education
Interdisciplinary literacies; multiliteracies (new literacies studies),college literacy processes,literacy studies
Interdisciplinary literacies; multiliteracies (new literacies studies),college literacy processes,multiliteracies
"Critical literacy, affect, and activism",college literacy processes,critical literacy
"Culture, identity, and intersectionality",college literacy processes,intersectionality
"Culture, identity, and intersectionality",college literacy processes,identity studies
"Culture, identity, and intersectionality",college literacy processes,cultural studies
Digital and popular culture,college literacy processes,popular culture
Digital and popular culture,college literacy processes,digital culture
"Inclusivity, diversity, equity, and activism",college literacy processes,equity studies
"Inclusivity, diversity, equity, and activism",college literacy processes,diversity studies
Power and agency,college literacy processes,power studies
"Race, racism, and anti-racism",college literacy processes,racism
"Race, racism, and anti-racism",college literacy processes,race
"Race, racism, and anti-racism",college literacy processes,anti-racism studies
Social class and critical dis/ability,college literacy processes,social class
Social class and critical dis/ability,college literacy processes,critical disability studies
"Comprehension, metacognition",college literacy processes,reading comprehension
"Comprehension, metacognition",college literacy processes,metacognition
Engagement and critically engaged reading; motivation,college literacy processes,critical reading
Engagement and critically engaged reading; motivation,college literacy processes,reading engagement
Literacy and language development; metalinguistic awareness,college literacy processes,language development
Counselling psychology,adult mental health,counselling psychology
Forced hospitalization in psychiatry: necessity or violation of rights?,adult mental health,psychiatry
Is suicide representation in media preventive or harmful?,adult mental health,media studies
"The ""anti-vax"" movement's impact on public mental health.",adult mental health,mental health
The use of electroconvulsive therapy in modern psychiatry.,adult mental health,psychiatry
The use of electroconvulsive therapy in modern psychiatry.,adult mental health,electroconvulsive therapy
Are personality disorders just extreme versions of normal personality traits?,adult mental health,personality psychology
Obsessive-compulsive personality disorder (ocpd),adult mental health,personality disorders
Advanced treatments in mental illness,adult mental health,psychiatry
Psychological resilience,adult mental health,psychological resilience
Neurocognitive psychiatry,adult mental health,neurocognitive psychiatry
Emergency psychiatry,adult mental health,emergency psychiatry
Adult and geriatric psychiatry,adult mental health,geriatric psychiatry
Adult and geriatric psychiatry,adult mental health,adult psychiatry
Addictions and mental health,adult mental health,mental health
Neuropsychiatric disorders,adult mental health,psychiatric disorders
Neuropsychiatric disorders,adult mental health,neuropsychiatry
Psychological disorders,adult mental health,psychology
Psychological disorders,adult mental health,psychological disorders
Psychosomatic disorders,adult mental health,psychosomatic medicine
Psychosomatic disorders,adult mental health,psychological disorders
"Stress, anxiety and depression",adult mental health,stress
